Timestamp(s),BestCost
0.0059,46224602.550000
0.0060,37520435.169412
0.0060,29042560.712941
0.0060,28633378.926203
0.0060,26783674.883262
0.0061,26762812.254706
0.0061,26409587.093048
0.0062,26093302.430214
0.0062,25623484.921176
0.0063,23714928.748449
0.0063,23395374.784278
0.0064,23385919.575080
0.0064,21191094.869786
0.0064,20441090.452888
0.0065,15399647.875294
0.0065,15340955.164706
0.0066,11841045.761176
0.0067,11425567.604706
0.0068,11385107.456471
0.0068,9202417.201765
0.0068,9019150.074492
0.0069,8967931.927968
0.0071,8895074.948717
0.0072,8441864.706471
0.0073,8260325.260053
0.0073,7780081.910588
0.0075,7713060.354439
0.0076,7497604.520000
0.0077,7455603.666524
0.0077,7451862.487701
0.0078,7297817.118717
0.0079,7022426.197594
0.0079,6278607.868984
0.0080,6042190.484759
0.0080,5932817.522995
0.0081,5902003.719519
0.0083,5883183.306150
0.0084,5784822.881016
0.0089,5759454.733155
0.0089,5514134.456578
0.0098,5513510.281176
0.0100,5457041.425294
0.0100,5216928.347647
0.0100,5135664.878610
0.0102,5028939.633529
0.0102,4799030.788289
0.0105,4759547.539840
0.0106,4732252.282995
0.0107,4717612.670909
0.0108,4638612.389091
0.0110,4462727.140642
0.0111,4459772.758824
0.0147,4400107.497433
0.0147,4383943.250909
0.0157,4297587.927594
0.0162,4297171.591176
0.0163,4192533.312246
0.0172,4176164.657861
0.0231,4157130.999412
0.0232,4126520.773529
0.0233,4104933.728824
0.0240,4090906.700588
0.0241,4073073.396898
0.0242,4012966.975668
0.0284,4010541.932353
0.0292,3913027.085882
0.0891,3908202.342246
0.0892,3888864.242193
0.0912,3877632.899412
0.0913,3868952.347647
0.0945,3864297.580856
0.0948,3855965.094171
0.0949,3854170.436417
0.1049,3816109.705882
0.1077,3813076.601765
0.1089,3754324.539412
0.1097,3741943.750588
0.1470,3736588.033369
0.1473,3717774.300321
0.1475,3717394.278930
0.1744,3707280.480535
0.1782,3696222.071818
0.1814,3687069.193743
0.2128,3680766.774064
0.2133,3656930.051765
0.2152,3656764.551551
0.2172,3654553.630374
0.2183,3654466.548877
0.2187,3652915.792086
0.2336,3648802.535561
0.2430,3648619.092139
0.2447,3636596.060588
0.2454,3633658.531176
0.2458,3630166.535508
0.2458,3626858.611016
0.2532,3625804.813422
0.2540,3620033.375936
0.2591,3617228.121070
0.3223,3614822.139840
0.3244,3607467.808824
0.3248,3605900.467647
0.4303,3601726.214920
0.4507,3600335.579198
0.4556,3600229.432620
0.4674,3597995.892086
0.4677,3596241.085668
0.4837,3595644.534439
0.4841,3595350.543422
0.4844,3594817.299144
0.4864,3593363.956150
0.4895,3593359.061390
0.4967,3592588.372620
0.4998,3592142.820749
0.5048,3591516.692834
0.5073,3591442.191872
0.5097,3590790.531176
0.5152,3590466.365294
0.5180,3590269.475882
0.5214,3589925.076257
0.5308,3589860.578930
0.5935,3589374.580909
0.5985,3589369.675294
0.6040,3588832.322353
3.7122,3582293.637701
3.7151,3581918.855829
3.7220,3570236.113369
3.7639,3568956.652995
3.7999,3566383.500535
3.8054,3565533.923262
4.1886,3565504.744866
4.2659,3565342.871925
6.6573,3564594.516524
6.6636,3564086.307166
6.7517,3563609.134759
15.1468,3552623.106417
15.1566,3552297.190909
15.1790,3552284.160428
15.2596,3552279.988877
20.6691,3550877.009947
20.6700,3549688.851658
20.6991,3549269.762032
20.7415,3549043.721925
28.0473,3548985.051818
28.0887,3548282.552406
28.0898,3547101.096150
28.0918,3547062.799037
28.0925,3545300.806952
28.0938,3544806.132299
28.1247,3541312.963102
28.1290,3541274.665989
28.1647,3541071.788396
28.1675,3540032.434385
28.2113,3539970.478021
28.2125,3539889.077380
28.2363,3539689.151016
28.2399,3539607.750374
219.1471,3539465.185080
219.1645,3539387.148556
251.4919,3533075.344759
251.4927,3532352.112246
251.4978,3531945.867433
251.4986,3531612.841123
251.5150,3529803.302941
251.5151,3529558.546257
251.5160,3529394.873529
251.5204,3529028.599091
426.1383,3528817.523262
426.1403,3526858.802353
426.1413,3526387.167059
426.1454,3526277.530588
426.1519,3525150.481176
426.2028,3523718.380000
426.9383,3523510.495722
426.9421,3522810.529412
510.2191,3518294.133529
510.2418,3517892.819412
510.2423,3517560.270000
510.2486,3516546.340588
510.2713,3516392.768824
510.2866,3506147.869786
510.3134,3505961.146471
3007.4103,3505832.177647
3007.4117,3505263.942353
3007.4169,3504727.874118
5024.7954,3504182.211765
5024.8015,3504177.600000
5024.8631,3503831.311497
5024.8691,3503683.166043
