Timestamp(s),BestCost
0.0015,1216653691.046118
0.0066,529303547.952941
0.0066,349343763.552000
0.0066,298992318.282824
0.0066,216045203.126118
0.0066,215679358.788706
0.0117,199393626.712000
0.0118,197533170.210824
0.0118,175662288.330353
0.0118,159764940.110588
0.0118,149111728.911529
0.0118,136936259.886588
0.0118,132650515.539294
0.0169,130937146.402353
0.0169,127835018.702588
0.0169,122015440.337412
0.0169,113805074.119059
0.0220,111364776.079529
0.0220,110273933.352471
0.0220,99516405.276235
0.0270,98136806.055059
0.0321,97572863.967059
0.0474,97481655.132235
0.0525,97239094.918588
0.0578,96775498.570353
0.0629,96211614.364706
0.0681,94853684.832000
0.0733,94465501.062118
0.0785,94437285.261176
0.0941,94417082.095529
0.0994,94335869.929882
0.0994,94226865.787765
0.1097,94152048.155294
0.1152,93740468.211765
0.1152,93694371.528000
0.1152,92437445.750588
0.1257,92355092.796706
0.1257,91493851.393412
0.1310,91445007.683294
0.1364,91378660.428235
0.1419,91374934.280471
0.1474,91358632.908235
0.1529,91333560.245647
0.2082,91328204.134588
0.2137,91189119.461176
0.2246,90338427.246118
0.2302,90249483.622588
0.2357,89561861.734588
0.2411,89446191.372235
0.2573,89298542.377882
0.2626,88507022.508706
0.2784,88430659.788235
0.3156,88427556.008471
0.3264,88418129.484235
0.3370,88405419.078588
0.3477,88403898.952471
0.5343,87863269.658353
0.5395,87860166.622118
0.5448,87833000.745412
0.5501,87825475.728941
0.5659,87794211.861176
0.5713,87574755.688000
0.6359,87572612.877647
0.6846,87489247.908235
0.7440,87481384.186824
0.9096,87477825.485647
1.1150,87473495.262588
1.1467,87466914.827765
1.2935,87466486.714824
1.3728,87464636.526588
1.3942,87432093.701176
1.3996,87344723.800941
1.4049,87304319.336000
1.4262,87294861.032941
1.8227,87291954.092706
1.8961,87291614.540706
4.4652,87180913.326588
4.4758,87084023.639059
4.4918,87077053.092235
4.5078,87055538.411765
4.5665,87052031.458353
4.5771,87051249.694588
4.6246,87038685.937412
4.6353,87037615.191059
4.6670,86883183.022588
4.7040,86773467.474353
4.7093,86762959.947765
4.7146,86713681.300235
4.7996,86706566.896471
4.8049,86684957.977882
4.8314,86684136.161412
5.2883,86670694.069647
7.4666,86355299.098353
7.4929,86346022.072471
7.5035,86170370.289412
7.5087,86163798.776000
7.5140,86151629.208000
7.5193,86107800.656471
7.5351,86089297.032941
7.6507,86057854.821176
7.7029,86025696.485176
7.7344,86000359.235294
7.7768,85985487.208941
7.7821,85981900.121882
7.8243,85970195.779294
7.8719,85970017.071529
8.0446,85967024.466353
77.3006,85919345.430118
77.3117,85812725.556235
77.3226,85724202.572235
77.5790,85576443.568000
77.6113,85528693.079529
77.6222,85517619.310118
77.7992,85511069.522353
77.8315,85509773.953412
78.0416,85504156.831059
78.0633,85503834.930353
78.0687,85502166.978353
79.4908,85492251.646588
388.3112,85477738.897412
388.5444,85477484.649882
388.5709,85477396.881882
1283.7430,85254596.210824
1283.7484,85213381.752000
1283.7696,85150786.864471
1283.7803,85119829.816000
1283.7964,85055009.918118
1283.8124,85027169.616941
1284.0145,85022285.389176
1798.4651,84990016.242353
1798.4704,84839628.532235
1798.4810,84551851.545882
1798.5179,84479742.408000
1798.5232,84462128.040000
1798.5548,84461968.878588
1798.5601,84446683.864941
1798.5707,84415952.865412
1799.7662,84387879.912000
1800.0560,84380434.152000
1800.1355,84374206.440000
5282.8848,84344049.756235
5283.0023,84331797.035294
5283.0129,84322894.023529
5283.0500,84297116.288000
5283.2873,84294389.351529
5283.6529,84288014.048000
5283.6582,84207383.568000
5283.7175,84067399.822588
5283.8078,84018381.605176
5283.8717,84005262.833882
5283.9356,83995107.728000
6256.7041,83960377.876706
6256.7310,83930795.749176
6256.7365,83914376.823529
6256.8223,83907695.607529
6256.8278,83835988.257882
6256.9905,83835430.249412
6257.0176,83819656.021176
6261.7155,83814621.153882
6261.7368,83813258.812235
6262.6565,83810833.211294
6508.6803,83740075.732235
6508.7017,83737263.611765
6508.7439,83709225.817412
6509.0131,83700797.744471
6509.1762,83697963.257882
6564.8371,83555842.009882
6564.8477,83467177.426353
6564.8793,83404543.830118
6564.9375,83384911.862588
6565.5338,83293687.047529
6566.0041,83289932.517647
6566.2706,83285716.995765
7018.1570,83277887.187765
7018.1624,83266360.081882
7018.1891,83233723.235765
7018.1944,83232626.806588
7018.2318,83222099.168941
7018.2533,83192721.636706
7018.5697,83192066.950588
7018.6805,83186556.457412
7021.2060,83185562.021647
